Rk,G,Date,Age,Tm,Column1,Opp,2,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,10/17/2017,35-034,HOU,@,GSW,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,10/18/2017,35-035,HOU,@,SAC,W (+5),0,17:37,3,5,.600,0,0,,3,3,1.000,1,3,4,1,1,0,1,2,9,8.2,-1
3,2,10/21/2017,35-038,HOU,,DAL,W (+16),0,10:14,6,6,1.000,0,0,,2,3,.667,1,1,2,0,0,0,0,3,14,11.6,+6
4,3,10/23/2017,35-040,HOU,,MEM,L (-8),0,15:49,4,6,.667,0,0,,1,1,1.000,1,2,3,1,0,0,1,3,9,6.2,-2
5,,10/25/2017,35-042,HOU,@,PHI,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,10/27/2017,35-044,HOU,@,CHO,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,4,10/28/2017,35-045,HOU,@,MEM,L (-14),0,14:54,2,5,.400,0,0,,0,0,,0,1,1,1,0,0,2,4,4,-1.3,-19
8,5,10/30/2017,35-047,HOU,,PHI,L (-8),0,10:29,1,2,.500,0,1,.000,5,9,.556,1,2,3,1,0,1,0,2,7,6.3,-9
9,6,11/1/2017,35-049,HOU,@,NYK,W (+22),0,13:34,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,2,3,4,0.5,+5
10,7,11/3/2017,35-051,HOU,@,ATL,W (+15),0,16:31,4,8,.500,0,1,.000,0,0,,1,5,6,1,2,1,2,2,8,6.8,+15
11,8,11/5/2017,35-053,HOU,,UTA,W (+27),0,18:43,5,8,.625,0,0,,3,4,.750,1,3,4,2,1,1,2,4,13,10.1,+20
12,9,11/9/2017,35-057,HOU,,CLE,W (+4),0,15:23,3,4,.750,0,0,,4,4,1.000,0,2,2,0,0,0,3,3,10,4.8,+9
13,10,11/11/2017,35-059,HOU,,MEM,W (+15),0,7:09,2,2,1.000,0,0,,0,0,,1,3,4,0,1,0,1,1,4,4.6,-4
14,,11/12/2017,35-060,HOU,@,IND,W (+23),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
15,,11/14/2017,35-062,HOU,,TOR,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,11,11/16/2017,35-064,HOU,@,PHO,W (+26),0,14:41,3,4,.750,0,0,,4,4,1.000,0,1,1,1,1,0,0,3,10,9.2,+15
17,12,11/18/2017,35-066,HOU,@,MEM,W (+22),0,16:27,0,2,.000,0,0,,2,4,.500,1,4,5,3,1,1,1,3,2,3.3,+16
18,13,11/22/2017,35-070,HOU,,DEN,W (+30),0,19:11,5,7,.714,0,0,,3,4,.750,1,3,4,5,1,1,2,4,13,12.9,+32
19,14,11/25/2017,35-073,HOU,,NYK,W (+15),0,14:17,4,4,1.000,0,0,,2,2,1.000,2,1,3,0,0,1,0,2,10,10.4,+10
20,,11/27/2017,35-075,HOU,,BRK,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
21,15,11/29/2017,35-077,HOU,,IND,W (+21),0,10:07,0,2,.000,0,0,,1,2,.500,0,4,4,1,1,0,0,0,1,2.1,+9
22,16,12/3/2017,35-081,HOU,@,LAL,W (+23),0,14:56,3,4,.750,0,0,,3,4,.750,1,3,4,0,0,0,1,4,9,6.0,+15
23,,12/7/2017,35-085,HOU,@,UTA,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
24,17,12/9/2017,35-087,HOU,@,POR,W (+7),0,10:06,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,2,4,1.9,-15
25,18,12/11/2017,35-089,HOU,,NOP,W (+7),0,12:53,4,6,.667,0,0,,0,0,,1,1,2,1,1,0,1,2,8,6.3,-11
26,19,12/13/2017,35-091,HOU,,CHO,W (+12),0,18:19,2,3,.667,0,0,,1,2,.500,1,5,6,1,0,0,0,2,5,5.4,+32
27,20,12/15/2017,35-093,HOU,,SAS,W (+15),0,13:52,0,2,.000,0,0,,0,0,,1,2,3,1,1,0,1,4,0,-1.0,-7
28,21,12/16/2017,35-094,HOU,,MIL,W (+4),0,19:57,7,9,.778,0,0,,2,3,.667,1,3,4,1,1,1,0,4,16,14.5,-8
29,,12/18/2017,35-096,HOU,,UTA,W (+21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,22,12/20/2017,35-098,HOU,,LAL,L (-6),1,25:55,1,4,.250,0,0,,2,4,.500,2,4,6,1,1,0,1,3,4,2.9,+17
31,23,12/22/2017,35-100,HOU,,LAC,L (-10),1,16:40,1,4,.250,0,0,,1,2,.500,0,2,2,0,0,0,0,1,3,0.4,-1
32,24,12/25/2017,35-103,HOU,@,OKC,L (-5),0,14:29,2,7,.286,0,0,,2,3,.667,2,1,3,1,0,2,2,2,6,2.5,-5
33,25,12/28/2017,35-106,HOU,@,BOS,L (-1),1,19:09,5,9,.556,0,0,,0,0,,0,4,4,0,2,0,0,3,10,7.7,+3
34,,12/29/2017,35-107,HOU,@,WAS,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,26,12/31/2017,35-109,HOU,,LAL,W (+6),0,5:59,3,3,1.000,0,0,,0,1,.000,0,2,2,1,0,0,0,1,6,5.6,+7
36,27,1/3/2018,35-112,HOU,@,ORL,W (+18),0,13:36,5,8,.625,0,0,,0,0,,1,4,5,0,0,0,0,3,10,7.1,-5
37,,1/4/2018,35-113,HOU,,GSW,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,1/6/2018,35-115,HOU,@,DET,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,1/8/2018,35-117,HOU,@,CHI,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,1/10/2018,35-119,HOU,,POR,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,1/12/2018,35-121,HOU,@,PHO,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,1/15/2018,35-124,HOU,@,LAC,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,28,1/18/2018,35-127,HOU,,MIN,W (+18),0,21:58,6,11,.545,0,0,,0,1,.000,4,4,8,1,1,0,1,2,12,10.2,+21
44,29,1/20/2018,35-129,HOU,,GSW,W (+8),0,16:03,3,5,.600,0,0,,0,0,,1,0,1,0,0,0,0,5,6,2.4,+8
45,30,1/22/2018,35-131,HOU,,MIA,W (+9),0,9:39,0,1,.000,0,0,,2,4,.500,3,2,5,3,0,0,0,1,2,4.9,-3
46,,1/24/2018,35-133,HOU,@,DAL,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,31,1/26/2018,35-135,HOU,@,NOP,L (-2),0,10:23,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,0,1,2,3,1.1,-7
48,32,1/28/2018,35-137,HOU,,PHO,W (+11),0,14:58,4,5,.800,0,0,,0,0,,1,1,2,1,0,0,0,1,8,7.4,-2
49,33,1/30/2018,35-139,HOU,,ORL,W (+7),0,13:11,2,4,.500,0,0,,0,0,,0,3,3,1,0,0,1,2,4,1.8,-6
50,34,2/1/2018,35-141,HOU,@,SAS,W (+11),0,12:31,1,3,.333,0,0,,1,2,.500,2,1,3,1,2,0,1,1,3,3.9,+1
51,35,2/3/2018,35-143,HOU,@,CLE,W (+32),0,17:24,4,4,1.000,0,0,,1,3,.333,1,4,5,3,0,0,2,2,9,8.2,+21
52,36,2/6/2018,35-146,HOU,@,BRK,W (+10),0,14:30,2,5,.400,0,0,,0,0,,0,1,1,1,0,0,0,3,4,1.1,+17
53,37,2/7/2018,35-147,HOU,@,MIA,W (+8),0,18:55,3,6,.500,0,0,,1,1,1.000,0,5,5,2,1,0,0,1,7,7.5,+4
54,,2/9/2018,35-149,HOU,,DEN,W (+26),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,38,2/11/2018,35-151,HOU,,DAL,W (+7),0,16:44,3,3,1.000,0,0,,1,2,.500,0,5,5,1,0,0,2,4,7,4.3,+2
56,39,2/13/2018,35-153,HOU,@,MIN,W (+18),0,13:42,3,7,.429,0,0,,2,3,.667,2,0,2,0,0,0,1,3,8,3.1,+8
57,,2/14/2018,35-154,HOU,,SAC,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,40,2/23/2018,35-163,HOU,,MIN,W (+18),0,16:12,2,2,1.000,0,0,,3,4,.750,0,3,3,0,0,0,0,1,7,6.5,+14
59,,2/25/2018,35-165,HOU,@,DEN,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,41,2/26/2018,35-166,HOU,@,UTA,W (+11),0,19:45,3,6,.500,0,0,,3,5,.600,2,3,5,1,2,0,3,4,9,5.6,+10
61,42,2/28/2018,35-168,HOU,@,LAC,W (+13),0,9:15,1,2,.500,0,0,,1,2,.500,0,3,3,0,0,0,0,2,3,1.7,+7
62,43,3/3/2018,35-171,HOU,,BOS,W (+3),0,14:06,4,7,.571,0,0,,0,0,,2,3,5,0,0,0,0,3,8,5.8,-17
63,44,3/6/2018,35-174,HOU,@,OKC,W (+10),0,16:59,3,5,.600,0,0,,2,2,1.000,3,2,5,0,0,2,1,3,8,7.6,+16
64,,3/7/2018,35-175,HOU,@,MIL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,45,3/9/2018,35-177,HOU,@,TOR,L (-3),0,4:00,0,3,.000,0,0,,0,2,.000,1,1,2,0,0,0,0,0,0,-1.9,-6
66,,3/11/2018,35-179,HOU,@,DAL,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,46,3/12/2018,35-180,HOU,,SAS,W (+16),0,15:12,3,4,.750,0,0,,0,0,,2,0,2,1,0,2,0,2,6,7.1,+1
68,47,3/15/2018,35-183,HOU,,LAC,W (+5),0,5:26,1,3,.333,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,1.9,-2
69,,3/17/2018,35-185,HOU,@,NOP,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
70,,3/18/2018,35-186,HOU,@,MIN,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,,3/20/2018,35-188,HOU,@,POR,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
72,,3/22/2018,35-190,HOU,,DET,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,,3/24/2018,35-192,HOU,,NOP,W (+23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,48,3/25/2018,35-193,HOU,,ATL,W (+19),0,14:50,1,3,.333,0,0,,0,0,,0,3,3,1,1,1,1,3,2,1.4,+13
75,49,3/27/2018,35-195,HOU,,CHI,W (+32),1,20:33,4,7,.571,0,0,,2,2,1.000,3,4,7,3,3,0,0,0,10,15.1,+32
76,,3/30/2018,35-198,HOU,,PHO,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
77,,4/1/2018,35-200,HOU,@,SAS,L (-17),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
78,50,4/3/2018,35-202,HOU,,WAS,W (+16),0,15:13,2,5,.400,0,0,,3,7,.429,3,5,8,0,1,0,0,2,7,6.5,+7
79,,4/5/2018,35-204,HOU,,POR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
80,51,4/7/2018,35-206,HOU,,OKC,L (-6),0,13:43,0,2,.000,0,0,,2,4,.500,1,0,1,1,0,0,1,4,2,-1.4,+1
81,52,4/10/2018,35-209,HOU,@,LAL,W (+6),0,12:18,1,4,.250,0,0,,0,0,,1,1,2,0,1,0,0,1,2,1.2,-1
82,,4/11/2018,35-210,HOU,@,SAC,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
